Age Group,Week,Time Period,Year,Note,State,Avg. Number of Deaths
Under 25 years,1,2015-2019,2019,  ,United States,1147
Under 25 years,2,2015-2019,2019,  ,United States,1109
Under 25 years,3,2015-2019,2019,  ,United States,1084
Under 25 years,4,2015-2019,2019,  ,United States,1062
Under 25 years,5,2015-2019,2019,  ,United States,1092
Under 25 years,6,2015-2019,2019,  ,United States,1132
Under 25 years,7,2015-2019,2019,  ,United States,1081
Under 25 years,8,2015-2019,2019,  ,United States,1120
Under 25 years,9,2015-2019,2019,  ,United States,1189
Under 25 years,10,2015-2019,2019,  ,United States,1101
Under 25 years,11,2015-2019,2019,  ,United States,1102
Under 25 years,12,2015-2019,2019,  ,United States,1119
Under 25 years,13,2015-2019,2019,  ,United States,1155
Under 25 years,14,2015-2019,2019,  ,United States,1123
Under 25 years,15,2015-2019,2019,  ,United States,1168
Under 25 years,16,2015-2019,2019,  ,United States,1156
Under 25 years,17,2015-2019,2019,  ,United States,1107
Under 25 years,18,2015-2019,2019,  ,United States,1156
Under 25 years,19,2015-2019,2019,  ,United States,1159
Under 25 years,20,2015-2019,2019,  ,United States,1158
Under 25 years,21,2015-2019,2019,  ,United States,1171
Under 25 years,22,2015-2019,2019,  ,United States,1277
Under 25 years,23,2015-2019,2019,  ,United States,1186
Under 25 years,24,2015-2019,2019,  ,United States,1233
Under 25 years,25,2015-2019,2019,  ,United States,1176
Under 25 years,26,2015-2019,2019,  ,United States,1269
Under 25 years,27,2015-2019,2019,  ,United States,1238
Under 25 years,28,2015-2019,2019,  ,United States,1194
Under 25 years,29,2015-2019,2019,  ,United States,1189
Under 25 years,30,2015-2019,2019,  ,United States,1229
Under 25 years,31,2015-2019,2019,  ,United States,1138
Under 25 years,32,2015-2019,2019,  ,United States,1152
Under 25 years,33,2015-2019,2019,  ,United States,1142
Under 25 years,34,2015-2019,2019,  ,United States,1158
Under 25 years,35,2015-2019,2019,  ,United States,1156
Under 25 years,36,2015-2019,2019,  ,United States,1194
Under 25 years,37,2015-2019,2019,  ,United States,1140
Under 25 years,38,2015-2019,2019,  ,United States,1217
Under 25 years,39,2015-2019,2019,  ,United States,1091
Under 25 years,40,2015-2019,2019,  ,United States,1124
Under 25 years,41,2015-2019,2019,  ,United States,1134
Under 25 years,42,2015-2019,2019,  ,United States,1159
Under 25 years,43,2015-2019,2019,  ,United States,1134
Under 25 years,44,2015-2019,2019,  ,United States,1100
Under 25 years,45,2015-2019,2019,  ,United States,1130
Under 25 years,46,2015-2019,2019,  ,United States,1217
Under 25 years,47,2015-2019,2019,  ,United States,1121
Under 25 years,48,2015-2019,2019,  ,United States,1146
Under 25 years,49,2015-2019,2019,  ,United States,1181
Under 25 years,50,2015-2019,2019,  ,United States,1156
Under 25 years,51,2015-2019,2019,  ,United States,1178
Under 25 years,52,2015-2019,2019,  ,United States,1199
Under 25 years,1,2015-2019,2018,  ,United States,1271
Under 25 years,2,2015-2019,2018,  ,United States,1178
Under 25 years,3,2015-2019,2018,  ,United States,1199
Under 25 years,4,2015-2019,2018,  ,United States,1285
Under 25 years,5,2015-2019,2018,  ,United States,1225
Under 25 years,6,2015-2019,2018,  ,United States,1185
Under 25 years,7,2015-2019,2018,  ,United States,1169
Under 25 years,8,2015-2019,2018,  ,United States,1152
Under 25 years,9,2015-2019,2018,  ,United States,1157
Under 25 years,10,2015-2019,2018,  ,United States,1169
Under 25 years,11,2015-2019,2018,  ,United States,1167
Under 25 years,12,2015-2019,2018,  ,United States,1201
Under 25 years,13,2015-2019,2018,  ,United States,1116
Under 25 years,14,2015-2019,2018,  ,United States,1117
Under 25 years,15,2015-2019,2018,  ,United States,1144
Under 25 years,16,2015-2019,2018,  ,United States,1160
Under 25 years,17,2015-2019,2018,  ,United States,1134
Under 25 years,18,2015-2019,2018,  ,United States,1215
Under 25 years,19,2015-2019,2018,  ,United States,1286
Under 25 years,20,2015-2019,2018,  ,United States,1174
Under 25 years,21,2015-2019,2018,  ,United States,1181
Under 25 years,22,2015-2019,2018,  ,United States,1222
Under 25 years,23,2015-2019,2018,  ,United States,1184
Under 25 years,24,2015-2019,2018,  ,United States,1224
Under 25 years,25,2015-2019,2018,  ,United States,1218
Under 25 years,26,2015-2019,2018,  ,United States,1146
Under 25 years,27,2015-2019,2018,  ,United States,1292
Under 25 years,28,2015-2019,2018,  ,United States,1204
Under 25 years,29,2015-2019,2018,  ,United States,1194
